iter	MultiClass
0	1.008120158
1	0.9393685273
2	0.8745148192
3	0.8183598744
4	0.7715693495
5	0.7342719082
6	0.7010950353
7	0.6662089972
8	0.6356388371
9	0.6096110189
10	0.5866335797
11	0.564874326
12	0.5435346959
13	0.5194566379
14	0.5014614894
15	0.4838919313
16	0.4713436794
17	0.4596412613
18	0.4483394058
19	0.4356760746
20	0.4219685031
21	0.41301577
22	0.4016243745
23	0.3925486194
24	0.383445705
25	0.3759918715
26	0.363511598
27	0.352971077
28	0.3441606863
29	0.3375115363
30	0.3318600865
31	0.32524646
32	0.3196581436
33	0.3163213957
34	0.3135260238
35	0.3079190857
36	0.3044529457
37	0.2996259098
38	0.2945328225
39	0.2913762435
40	0.2880521585
41	0.2838438268
42	0.2804457935
43	0.2767077626
44	0.2754509121
45	0.2728741306
46	0.2707809199
47	0.2676754466
48	0.2649250013
49	0.2625992977
50	0.2613271081
51	0.260228374
52	0.2570484056
53	0.2542138898
54	0.2519688396
55	0.2493054727
56	0.2481195301
57	0.2455324848
58	0.2444429409
59	0.2427998892
60	0.2416881165
61	0.2407475179
62	0.2402186006
63	0.2389326384
64	0.237617428
65	0.235249622
66	0.2332194065
67	0.2319776735
68	0.2309624231
69	0.2294550167
70	0.2286575407
71	0.2277909147
72	0.2267171053
73	0.2249718349
74	0.2237870087
75	0.2224809501
76	0.2218170534
77	0.221196666
78	0.2204214685
79	0.2200996301
80	0.2193420459
81	0.218602059
82	0.2174671341
83	0.2169833552
84	0.2161653136
85	0.2154883582
86	0.2151272419
87	0.2136939158
88	0.2129966538
89	0.2118239931
90	0.2114096635
91	0.2107555993
92	0.2097619243
93	0.2085628596
94	0.2079531149
95	0.20756286
96	0.2068296107
97	0.2061562322
98	0.2059162877
99	0.2055738884
100	0.2050653831
101	0.2042704469
102	0.2032117848
103	0.2027961758
104	0.2023506305
105	0.201826045
106	0.2011329968
107	0.2004516582
108	0.2000986188
109	0.199819609
110	0.1993516792
111	0.1984142297
112	0.19773455
113	0.1968441187
114	0.1965146506
115	0.195238323
116	0.1949599686
117	0.1947806886
118	0.194427202
119	0.19411411
120	0.1937204262
121	0.1935071281
122	0.1930900025
123	0.1924050135
124	0.192214131
125	0.1916489864
126	0.1913967583
127	0.1909642461
128	0.1904736651
129	0.189733598
130	0.1892701489
131	0.1889763265
132	0.1887917208
133	0.1885051911
134	0.1878629001
135	0.1871818633
136	0.1864463646
137	0.1859330028
138	0.1852940623
139	0.1848105332
140	0.1844519157
141	0.1841872676
142	0.1837650143
143	0.1831130645
144	0.1829866617
145	0.182629014
146	0.1822916693
147	0.1818234909
148	0.1816587617
149	0.1810573836
150	0.1807866262
151	0.1804647322
152	0.1797766623
153	0.1794225511
154	0.1788056665
155	0.1783280881
156	0.1779482181
157	0.1773646193
158	0.177043873
159	0.176848732
160	0.1762822126
161	0.1760124238
162	0.1757387881
163	0.1754732602
164	0.1751624976
165	0.1751061076
166	0.1747724486
167	0.1742223856
168	0.1735410607
169	0.1732990176
170	0.1730701272
171	0.1726908541
172	0.1722527996
173	0.1719796313
174	0.1717432889
175	0.1715658174
176	0.1710801462
177	0.1707840395
178	0.1703766432
179	0.1695187665
180	0.1691125424
181	0.1688064102
182	0.1685938967
183	0.1681405901
184	0.1680297714
185	0.1678694114
186	0.1677382578
187	0.1672959131
188	0.1664275114
189	0.1660434522
190	0.1656773411
191	0.1654783251
192	0.1653360965
193	0.1650904016
194	0.1644016407
195	0.164137806
196	0.1639115681
197	0.1637285462
198	0.1633325676
199	0.1629047862
200	0.1624957865
201	0.1623403982
202	0.1620719784
203	0.1619222493
204	0.1616639704
205	0.1614875597
206	0.1612735709
207	0.1611277284
208	0.1610241935
209	0.1607908613
210	0.160449036
211	0.1602587233
212	0.1597765393
213	0.1595170964
214	0.1593916784
215	0.159198722
216	0.1591735535
217	0.1590179281
218	0.1588875058
219	0.1585942702
220	0.1582709182
221	0.1577268842
222	0.1574287415
223	0.1571521348
224	0.1568237073
225	0.1566400489
226	0.1560939062
227	0.1559290483
228	0.1555182336
229	0.1553707581
230	0.1550845332
231	0.1546925269
232	0.1544294225
233	0.1542314745
234	0.1539964513
235	0.1538274918
236	0.1535730965
237	0.153326963
238	0.1528934181
239	0.1526869165
240	0.1523602308
241	0.151882389
242	0.1515313552
243	0.1513944391
244	0.15094967
245	0.1507532339
246	0.1505272387
247	0.1502581921
248	0.1501073384
249	0.1498071298
250	0.1496198087
251	0.1495129944
252	0.1490687775
253	0.1489151167
254	0.1488025962
255	0.1484915239
256	0.1482401927
257	0.1480772871
258	0.147956207
259	0.1477910812
260	0.1474310127
261	0.1471569659
262	0.146858735
263	0.1465713279
264	0.1463411899
265	0.1460883889
266	0.1459598037
267	0.1458207175
268	0.1455981359
269	0.1454921845
270	0.1453009559
271	0.1450398949
272	0.1449467719
273	0.144697553
274	0.1443463672
275	0.1441286238
276	0.1439286047
277	0.1436804385
278	0.1435831245
279	0.1432289056
280	0.1429490513
281	0.1427911548
282	0.1424995336
283	0.1423453676
284	0.1421778472
285	0.1419900548
286	0.1417785513
287	0.1416846146
288	0.1413974443
289	0.1411903301
290	0.140949833
291	0.1408134376
292	0.1406141699
293	0.140532883
294	0.1403170771
295	0.1401717789
296	0.1400048538
297	0.139875727
298	0.1396913973
299	0.1395543813
